index,time,data
0,1597984204276275408,540
1,1597984204291840079,540
2,1597984204309459311,540
4,1597984204343233769,538
5,1597984204359150036,540
6,1597984204376674469,540
7,1597984204392710177,540
8,1597984204410288336,540
9,1597984204426246050,540
10,1597984204442298934,540
11,1597984204459868133,540
12,1597984204475897008,540
13,1597984204493521193,540
14,1597984204536844527,540
15,1597984204536942999,540
16,1597984204580764226,540
17,1597984204580824109,540
18,1597984204580851793,540
19,1597984204624721342,540
20,1597984204624790681,540
21,1597984204626271948,540
22,1597984204643940097,541
23,1597984204684838329,540
24,1597984204684959394,538
25,1597984204728848709,540
26,1597984204728941735,540
27,1597984204728975365,541
29,1597984204776940578,540
30,1597984204777154483,540
31,1597984204794573764,538
32,1597984204840936965,541
34,1597984204884766103,540
35,1597984204884833088,538
36,1597984204884854741,538
37,1597984204932948987,538
38,1597984204933131909,540
39,1597984204933241156,540
40,1597984204980761756,538
41,1597984204980841551,540
42,1597984204980870896,538
43,1597984205024944887,538
44,1597984205025090122,540
45,1597984205028020093,540
46,1597984205045583791,538
47,1597984205092745646,538
48,1597984205092848769,540
49,1597984205136795734,540
50,1597984205136918211,541
51,1597984205136988895,540
52,1597984205184913356,541
53,1597984205185040800,538
54,1597984205185095097,540
55,1597984205228845760,540
56,1597984205228953043,540
57,1597984205229534862,538
58,1597984205245637921,540
59,1597984205288915024,540
60,1597984205289199511,538
61,1597984205332815660,538
62,1597984205332899002,538
63,1597984205332927691,538
64,1597984205376788214,540
65,1597984205376866718,540
66,1597984205379973497,540
67,1597984205395992058,540
68,1597984205436876572,540
69,1597984205436979417,540
71,1597984205480737709,540
72,1597984205480828662,540
73,1597984205524915570,540
74,1597984205525248844,540
76,1597984205546428977,538
77,1597984205588749837,540
78,1597984205588854774,538
80,1597984205632860365,538
81,1597984205633035445,538
82,1597984205676796515,540
83,1597984205676864064,540
84,1597984205679117061,538
85,1597984205696814265,540
86,1597984205744923858,538
87,1597984205744999109,540
89,1597984205792718154,540
90,1597984205792789306,540
91,1597984205836898912,540
92,1597984205836984741,540
93,1597984205837023931,540
94,1597984205880759469,541
95,1597984205880839117,540
96,1597984205880866039,540
97,1597984205925024500,538
98,1597984205925242470,538
99,1597984205930377794,541
100,1597984205946415280,540
101,1597984205992792856,540
103,1597984206037101852,540
104,1597984206037336163,540
105,1597984206037437423,540
106,1597984206080786446,540
108,1597984206080975126,540
109,1597984206096800254,538
110,1597984206144842529,540
111,1597984206144920862,540
112,1597984206188764719,540
113,1597984206188879584,540
114,1597984206188978261,540
115,1597984206232817140,541
116,1597984206233018647,540
118,1597984206276713340,540
119,1597984206276814808,540
120,1597984206282433012,540
121,1597984206298459080,540
122,1597984206340732989,540
123,1597984206340864836,540
124,1597984206384816378,540
125,1597984206384912153,540
126,1597984206384960379,540
128,1597984206428834568,541
129,1597984206432833232,540
130,1597984206449088123,541
131,1597984206492806457,538
132,1597984206492890275,540
133,1597984206540859349,540
