index,time,data
0,1597991043186237115,1906
1,1597991043192058271,1896
2,1597991043201587957,1896
3,1597991043210232873,1893
4,1597991043219828027,1906
5,1597991043228398867,1896
6,1597991043238154886,1906
7,1597991043246933828,1899
8,1597991043256313796,1896
9,1597991043265899501,1894
10,1597991043274927974,1906
11,1597991043285142197,1896
12,1597991043293422388,1906
13,1597991043302860711,1894
14,1597991043344753451,1896
15,1597991043344820427,1894
16,1597991043344841414,1896
17,1597991043344864050,1898
18,1597991043388945613,1896
19,1597991043389165965,1901
20,1597991043389294181,1899
21,1597991043389421767,1896
22,1597991043389558962,1904
23,1597991043432890557,1899
24,1597991043433093462,1907
25,1597991043433177499,1894
26,1597991043433254999,1899
27,1597991043433374599,1896
28,1597991043476902125,1896
29,1597991043477055507,1896
30,1597991043477109713,1896
31,1597991043477159969,1894
32,1597991043478008980,1904
33,1597991043487728861,1898
34,1597991043528794988,1896
35,1597991043528889392,1904
36,1597991043565514031,1894
37,1597991043565570733,1896
39,1597991043572832946,1896
40,1597991043572902013,1896
41,1597991043572931930,1907
42,1597991043572972958,1896
43,1597991043620696315,1906
44,1597991043620787630,1896
45,1597991043620816512,1896
46,1597991043620850678,1894
47,1597991043620886387,1899
48,1597991043660736674,1904
49,1597991043660827216,1904
50,1597991043660864289,1896
51,1597991043660913777,1896
52,1597991043662676421,1896
53,1597991043671396608,1899
54,1597991043712813449,1896
55,1597991043712909848,1904
56,1597991043712943203,1896
57,1597991043712970522,1896
58,1597991043756866398,1896
59,1597991043757109248,1907
60,1597991043757263385,1896
61,1597991043757387604,1904
62,1597991043757498727,1894
63,1597991043800705185,1896
64,1597991043800803794,1896
65,1597991043800839428,1906
66,1597991043800870717,1896
67,1597991043801074068,1898
68,1597991043810549851,1902
69,1597991043852770609,1896
70,1597991043852842576,1902
71,1597991043852876358,1901
72,1597991043852905259,1894
73,1597991043896785291,1898
74,1597991043896866412,1896
75,1597991043896905686,1896
77,1597991043896945208,1896
78,1597991043940844222,1898
80,1597991043940941242,1894
81,1597991043940981124,1894
82,1597991043941016084,1898
83,1597991043984789571,1904
84,1597991043984885445,1894
85,1597991043984940270,1904
86,1597991043984980272,1902
87,1597991043985904734,1906
88,1597991043994889211,1896
89,1597991044036981602,1906
90,1597991044037237843,1896
91,1597991044037349793,1901
92,1597991044037437035,1898
93,1597991044081023663,1901
94,1597991044081286063,1899
95,1597991044081352462,1894
96,1597991044081405600,1899
97,1597991044081442791,1896
98,1597991044128845066,1896
99,1597991044128929753,1902
100,1597991044128961760,1898
101,1597991044128987442,1894
102,1597991044129012823,1896
103,1597991044176899238,1894
104,1597991044177088636,1894
105,1597991044177158510,1898
106,1597991044177257404,1896
107,1597991044177373757,1898
108,1597991044220762369,1896
109,1597991044220837887,1896
110,1597991044220872415,1894
111,1597991044220912199,1896
112,1597991044220947296,1894
113,1597991044264954345,1896
114,1597991044265187890,1896
115,1597991044265222031,1902
116,1597991044265259025,1896
117,1597991044265297927,1899
118,1597991044308784610,1896
119,1597991044308945283,1896
120,1597991044309019420,1896
121,1597991044309078208,1904
122,1597991044309132211,1894
124,1597991044356800350,1896
125,1597991044356877219,1902
126,1597991044356910037,1896
127,1597991044356933813,1904
128,1597991044400751754,1896
129,1597991044400829402,1896
130,1597991044400855369,1896
131,1597991044400880461,1896
132,1597991044401009651,1901
133,1597991044409870477,1896
134,1597991044452777063,1902
135,1597991044452890592,1894
136,1597991044452947872,1896
137,1597991044452998181,1898
138,1597991044500794762,1902
139,1597991044500956425,1894
140,1597991044501007377,1893
141,1597991044501077204,1894
142,1597991044501154647,1894
143,1597991044544789077,1899
144,1597991044544880132,1894
145,1597991044544912739,1896
146,1597991044544938166,1899
148,1597991044588785746,1902
149,1597991044588858028,1896
150,1597991044588891481,1904
151,1597991044588923883,1893
152,1597991044588962670,1906
154,1597991044636848444,1896
155,1597991044636929852,1896
156,1597991044636954396,1896
157,1597991044636980115,1896
158,1597991044684749071,1901
159,1597991044684863957,1896
160,1597991044684913289,1899
161,1597991044684953830,1899
162,1597991044684987804,1896
163,1597991044728899444,1896
164,1597991044729079691,1899
165,1597991044729146430,1894
166,1597991044729209519,1899
167,1597991044729278608,1898
168,1597991044772782325,1896
169,1597991044772866439,1904
170,1597991044772896372,1898
171,1597991044772931694,1896
172,1597991044772971321,1906
173,1597991044816755172,1896
174,1597991044816877282,1894
175,1597991044816919230,1898
176,1597991044816952717,1899
177,1597991044816986052,1898
178,1597991044864784827,1906
179,1597991044865123845,1904
180,1597991044865203877,1904
181,1597991044865248165,1907
182,1597991044865287753,1898
183,1597991044908853494,1894
184,1597991044908965951,1899
185,1597991044909012181,1901
186,1597991044909057476,1896
187,1597991044909100614,1896
188,1597991044952841124,1894
189,1597991044952953472,1896
190,1597991044952995129,1896
191,1597991044953033894,1896
192,1597991044953898073,1906
193,1597991044962843867,1896
194,1597991045004809518,1896
195,1597991045004906393,1904
196,1597991045004942477,1904
197,1597991045004979101,1894
198,1597991045048878329,1896
199,1597991045049044891,1904
200,1597991045049107036,1894
201,1597991045049169797,1904
202,1597991045049228419,1896
203,1597991045092851007,1901
204,1597991045092933541,1896
205,1597991045092959427,1902
206,1597991045092983810,1896
207,1597991045093009922,1896
208,1597991045136817442,1896
209,1597991045136888320,1894
210,1597991045136911458,1906
211,1597991045136933066,1898
212,1597991045137965569,1896
213,1597991045147241256,1893
214,1597991045192732775,1896
215,1597991045192827177,1894
216,1597991045192870305,1894
217,1597991045192914568,1894
218,1597991045236792023,1896
219,1597991045236863461,1896
220,1597991045236896318,1896
221,1597991045236929684,1896
222,1597991045236961527,1896
223,1597991045280756085,1904
224,1597991045280881593,1894
227,1597991045280941695,1896
229,1597991045325062639,1898
230,1597991045325219181,1896
231,1597991045325285701,1894
232,1597991045325353611,1896
233,1597991045368708899,1901
234,1597991045368840303,1894
235,1597991045368888402,1896
236,1597991045368931789,1896
237,1597991045368968624,1901
238,1597991045412879108,1904
239,1597991045412957524,1906
240,1597991045412982060,1896
241,1597991045413006319,1898
242,1597991045413960500,1894
