index,time,data
0,1598235552207058179,1901
1,1598235552215085790,1901
2,1598235552224730364,1902
3,1598235552234334821,1901
4,1598235552243948042,1901
5,1598235552252803941,1901
6,1598235552262258779,1901
7,1598235552271960826,1899
8,1598235552281442149,1899
9,1598235552290331747,1901
10,1598235552299844872,1899
11,1598235552309547494,1901
12,1598235552319010618,1899
13,1598235552327960246,1894
14,1598235552374815161,1902
15,1598235552374884194,1901
16,1598235552374907305,1902
17,1598235552374927010,1901
18,1598235552418834430,1907
19,1598235552418912166,1901
20,1598235552418941409,1901
21,1598235552418967373,1899
22,1598235552418995845,1899
23,1598235552462946308,1901
24,1598235552463019192,1901
25,1598235552463055268,1899
26,1598235552463074339,1901
27,1598235552463093609,6000
28,1598235552506765932,1901
29,1598235552506827097,1904
30,1598235552506844242,1899
31,1598235552506870357,1899
32,1598235552506889704,1901
33,1598235552554799755,1909
34,1598235552554903445,1899
35,1598235552554939358,1901
36,1598235552554965476,1901
37,1598235552554990844,1899
38,1598235552598795510,1899
39,1598235552598962739,1896
40,1598235552599031432,1899
41,1598235552599086500,1899
42,1598235552599876909,1894
43,1598235552609657676,1901
44,1598235552650823592,1902
45,1598235552650898329,1901
46,1598235552650924150,1899
47,1598235552650947589,1899
48,1598235552698808248,1899
49,1598235552698964272,1901
50,1598235552699024831,1899
51,1598235552699070176,1899
52,1598235552699126371,1901
53,1598235552742797372,1894
54,1598235552742918429,1898
55,1598235552742982671,1901
56,1598235552743045216,1901
57,1598235552743104874,1899
58,1598235552786929001,1899
59,1598235552787017891,1901
60,1598235552787047529,1901
61,1598235552787076538,1901
62,1598235552787941738,1902
63,1598235552797672784,1899
64,1598235552838848649,1899
65,1598235552839009116,1901
66,1598235552839109160,1899
67,1598235552839191236,1899
68,1598235552882826094,1901
69,1598235552882943196,1904
70,1598235552882980202,1899
71,1598235552883012132,1901
72,1598235552883047271,1901
73,1598235552926873667,1901
74,1598235552926958465,1901
75,1598235552926988342,1902
76,1598235552927014876,1896
77,1598235552928763487,1899
78,1598235552937624577,1894
79,1598235552978858035,1899
80,1598235552978921158,1894
81,1598235552978942134,1902
82,1598235552978963209,1896
83,1598235553022760430,1902
84,1598235553022829995,1899
85,1598235553022851331,6000
86,1598235553022870395,1901
87,1598235553022891141,1901
88,1598235553066778331,1902
89,1598235553066859954,1898
90,1598235553066888036,1899
91,1598235553066908782,1902
92,1598235553068767263,1901
93,1598235553078558613,1899
94,1598235553122797792,1901
95,1598235553122876836,1899
96,1598235553122901683,1899
97,1598235553122927268,1899
98,1598235553170766280,1899
99,1598235553170853703,1899
100,1598235553170884801,1899
101,1598235553170915408,1901
102,1598235553170942682,1899
103,1598235553214805318,1901
104,1598235553214912544,1901
105,1598235553214969795,6000
106,1598235553215025458,1902
107,1598235553215091035,1896
108,1598235553258784785,1902
109,1598235553258850603,1898
110,1598235553258880680,1899
111,1598235553258915936,1899
112,1598235553258941073,1896
113,1598235553302758241,1899
114,1598235553302840351,1902
115,1598235553302868960,1902
116,1598235553302901251,1901
117,1598235553303152935,1901
118,1598235553312112301,1901
119,1598235553354786400,1898
120,1598235553354867179,1896
121,1598235553354893138,1901
122,1598235553354918855,1901
123,1598235553398794344,1901
124,1598235553398933673,1901
125,1598235553398994857,1898
126,1598235553399046425,1899
127,1598235553399096874,1899
128,1598235553442783240,1899
129,1598235553442889652,1899
130,1598235553442943537,1902
131,1598235553442987217,1899
132,1598235553443240657,1901
133,1598235553453219622,1898
134,1598235553498770722,1902
135,1598235553498862926,6000
136,1598235553498908675,1896
137,1598235553498955335,1902
138,1598235553542818532,1899
139,1598235553542911553,1901
140,1598235553542944532,1907
141,1598235553542982328,1901
142,1598235553543020694,6000
143,1598235553586856514,1894
144,1598235553586948014,1901
145,1598235553587004973,1894
146,1598235553587053820,1902
147,1598235553587088101,6000
148,1598235553634960898,1896
149,1598235553635162998,1899
150,1598235553635239936,1901
151,1598235553635344837,1901
152,1598235553635441551,1901
153,1598235553678831663,1902
154,1598235553678903025,1899
155,1598235553678923864,1902
156,1598235553678939725,1902
157,1598235553678965048,1901
158,1598235553722915351,1901
159,1598235553723131283,1901
160,1598235553723246765,1901
161,1598235553723377696,1896
162,1598235553724234043,1896
163,1598235553733081780,1901
164,1598235553778849621,1901
165,1598235553778964007,1899
166,1598235553779011771,1899
167,1598235553779057834,1899
168,1598235553822797787,1899
169,1598235553822874503,1901
170,1598235553822893961,1902
171,1598235553822912610,1901
172,1598235553822932024,1901
173,1598235553866760257,1899
174,1598235553866829871,1896
175,1598235553866845863,6000
176,1598235553866860472,1896
177,1598235553866876081,1894
178,1598235553910790691,1901
179,1598235553910865106,1901
180,1598235553910890750,1899
181,1598235553910910570,1901
182,1598235553910927936,1899
183,1598235553958848522,1899
184,1598235553958939163,1896
185,1598235553958956851,1901
186,1598235553958979007,1899
187,1598235553958999016,1901
188,1598235554002761471,1899
189,1598235554002831442,1899
190,1598235554002860141,1899
191,1598235554002892034,1904
192,1598235554004192624,1906
193,1598235554013927000,1899
194,1598235554054806928,1906
195,1598235554054882873,1901
196,1598235554054903489,1901
197,1598235554054921818,1901
198,1598235554098766689,1898
199,1598235554098849053,1899
200,1598235554098880157,1898
201,1598235554098926642,1909
202,1598235554098953024,1899
203,1598235554142918753,1899
204,1598235554142998310,1899
205,1598235554143034420,1901
206,1598235554143075518,1901
207,1598235554144234427,1896
208,1598235554153949865,1901
209,1598235554194880345,1901
