index,time,data
0,1597973058404293704,540
1,1597973058491448274,540
2,1597973058572140967,540
3,1597973058659762360,540
4,1597973058739865683,540
5,1597973058827562714,540
6,1597973058915668198,540
7,1597973058995702698,540
8,1597973059083551483,540
11,1597973059339745919,540
12,1597973059419516687,540
13,1597973059507688484,541
14,1597973059587388695,540
16,1597973059763613209,541
17,1597973059843946683,540
18,1597973059931533657,541
19,1597973060011814368,541
20,1597973060099580997,540
21,1597973060179283145,540
22,1597973060267521415,540
24,1597973060435440608,540
25,1597973060523701606,540
26,1597973060603580172,540
27,1597973060691494913,541
28,1597973060771420075,540
29,1597973060859723393,540
30,1597973060939851473,540
31,1597973061027545289,540
32,1597973061115719087,541
33,1597973061195336291,541
34,1597973061283459167,540
35,1597973061363607068,540
36,1597973061451458737,540
38,1597973061619682416,541
39,1597973061707506136,540
40,1597973061787729083,540
41,1597973061875541053,540
42,1597973061955415581,540
43,1597973062043801702,540
44,1597973062123454193,540
45,1597973062211368295,541
46,1597973062291326750,540
47,1597973062379271250,540
48,1597973062467570513,541
49,1597973062547541565,541
50,1597973062635813465,540
51,1597973062715468687,540
52,1597973062803364503,540
53,1597973062883418049,540
54,1597973062971411309,541
56,1597973063139460095,540
57,1597973063227460028,540
58,1597973063307644951,541
59,1597973063395447170,541
60,1597973063475514166,541
61,1597973063563451217,540
62,1597973063643403274,540
63,1597973063731475625,540
64,1597973063819505474,541
65,1597973063899105749,541
66,1597973063987147671,540
67,1597973064067616036,540
68,1597973064155466604,540
69,1597973064243245709,540
70,1597973064323388929,541
71,1597973064411264207,540
73,1597973064579004591,540
74,1597973064667253553,538
75,1597973064747577995,540
76,1597973064835557035,541
77,1597973064915302373,540
78,1597973065003451521,540
79,1597973065091344585,541
80,1597973065170962816,538
81,1597973065259363927,540
82,1597973065346944237,541
83,1597973065426692672,540
84,1597973065515344317,540
85,1597973065595231068,540
86,1597973065683408487,540
87,1597973065771376119,540
88,1597973065851363867,540
89,1597973065939656693,540
90,1597973066019382893,541
91,1597973066107297451,540
92,1597973066195167046,540
93,1597973066275040901,540
94,1597973066363294149,540
95,1597973066443520588,540
96,1597973066531339819,540
97,1597973066619399817,541
98,1597973066699535967,540
99,1597973066787402154,538
100,1597973066875249036,540
101,1597973066955393007,540
102,1597973067043383494,540
103,1597973067123351714,540
104,1597973067211303720,541
105,1597973067299467912,541
106,1597973067379472884,540
107,1597973067467466108,540
108,1597973067555291907,540
109,1597973067635511600,540
110,1597973067723382289,540
111,1597973067802990494,540
112,1597973067891405627,540
113,1597973067979660427,540
114,1597973068059352789,540
115,1597973068147618847,541
116,1597973068227421435,540
117,1597973068315238441,540
118,1597973068403106217,540
119,1597973068483270512,540
120,1597973068571231170,540
121,1597973068659315195,540
122,1597973068739504920,540
123,1597973068827440063,540
124,1597973068907593737,541
125,1597973068995360702,540
126,1597973069083484415,540
127,1597973069163529655,540
128,1597973069251484741,540
129,1597973069339468445,540
131,1597973069507453767,540
132,1597973069587747004,540
133,1597973069675420440,541
135,1597973069843093421,541
136,1597973069931609735,540
137,1597973070011283377,541
138,1597973070099294677,541
140,1597973070267448787,540
141,1597973070355483986,540
142,1597973070443588223,540
143,1597973070523156511,541
144,1597973070611488911,541
145,1597973070691345389,540
146,1597973070779468413,540
147,1597973070867453019,541
148,1597973070947419440,541
149,1597973071035368270,540
150,1597973071115429726,540
151,1597973071203252575,540
152,1597973071291591810,540
153,1597973071371411575,541
154,1597973071459464376,540
155,1597973071547369510,540
156,1597973071627411975,540
157,1597973071715383507,540
158,1597973071795400092,540
159,1597973071883469708,540
160,1597973071971533803,540
162,1597973072139427433,540
